,reviewContent,rating,clean_teks
3299,"kenapa saya udh 2 kali mesen tapi di batal kan terus, saya ga puas, udh nunggu lama tapi malah di batalin . . ..",1,kenapa saya udh kali mesen tapi di batal kan terus saya ga puas udh nunggu lama tapi malah di batalin
3302,"saya kira ini sudah ada hardisknya, ternyata masih harus beli lagi.  ini cuma alat transfernya doang.  jadi tidak kepake ini barang",1,saya kira ini sudah ada hardisknya nyata masih harus beli lagi ini cuma alat transfer doang jadi tidak kepake ini barang
3329,"Barang nya cepet datang, packing rapi. Tapi BARANG GAK BISA DI PAKE !!!",1,barang nya cepet datang packing rapi tapi barang gak bisa di pake
3345,"barang sudah saya Terima, tetapi saat digunakan tidak berfungsi 😡",1,barang sudah saya terima tetapi saat guna tidak fungsi
3352,"Unitnya bagus berjalan normal, tapi saya pesan 3 unit,2 kabel usb gak bsa dipake,error gak connect",2,unit bagus jalan normal tapi saya pesan unit kabel usb gak bsa dipakeerror gak connect
3365,pesanan gue kok ga sampe one day service padahal gue pesen pake gojek.,2,pesan gue kok ga sampe one day service padahal gue sen pake gojek
3395,casenya kadang kebaca kadang ga,2,casenya kadang baca kadang ga
3414,"Sudah lewat estimasi pengiriman, barang tak juga datang",1,sudah lewat estimasi kirim barang tak juga datang
3446,Saya kira sama hardisk nya ternyata cuman alat transfernya doang gimana nih saya beli jadi ga di gunaiin??,1,saya kira sama hardisk nya nyata cuman alat transfer doang gimana nih saya beli jadi ga di gunaiin
3459,"Barang dah sampe tapi ketika dicoba malah error,data gk masuk,gk muncul pemberitauan pas di pasang di laptop",2,barang dah sampe tapi ketika coba malah errordata gk masukgk muncul pemberitauan pas di pasang di laptop
3626,bisa dipakai buat pc.....,2,bisa pakai buat pc
3632,Hardisknya mana kok kosong kayak gitu mohon respon,2,hardisknya mana kok kosong kayak gitu mohon respon
3635,ini tuh hardisk apa casenya?,2,ini tuh hardisk apa casenya
3642,"sngt kecewa..,brng gk sesui foto,gambr gk jernih..,andai sja bsa di kemblikan...,saya di ptong 100rb gpp...",1,sngt kecewabrng gk sesui fotogambr gk jernihandai sja bsa di kemblikansaya di ptong rb gpp
3643,klo ditonton dari samping gk kelihatan harus dari depan,1,klo tonton dari samping gk lihat harus dari depan
3646,Warna Silver Ready kaga bos? Thanks bos.,1,warna silver ready kaga bos thanks bos
3656,"Barangnya bagus, cuma bikin kecewa waktu pengiriman telat dr tanggal yg ditentukan, yg seharusnya barang d terima dlm 2 minggu ternyata telat sampai di minggu ke 3",1,barang bagus cuma bikin kecewa waktu kirim telat dr tanggal yg tentu yg harus barang d terima dlm minggu nyata telat sampai di minggu ke
3678,di buang,1,di buang
3691,Apa Nnt ini bs kredit Gmn sie caranya.....,2,apa nnt ini bs kredit gmn sie cara
3696,Gak bisa di pake,1,gak bisa di pake
3697,flash disk ga berfungsi cuy.,1,flash disk ga fungsi cuy
3698,Barang rusak,1,barang rusak
3699,Barang tidak bisa di pakai jgn di jual,1,barang tidak bisa di pakai jgn di jual
3704,Kenapa bonusnya malah kabel OTG.. Dan bentuk FD nya agak beda ya,2,kenapa bonus malah kabel otg dan bentuk fd nya agak beda ya
3706,nyesel se nyesel nyeselnya barangnya jelek datengnya lama lama banget tidak sesuai tglnya penjual juga tidak bertanggung jawab gada respon sama sekali dr toko nyesel banget,1,nyesel se nyesel nyeselnya barang jelek datengnya lama lama banget tidak sesuai tglnya jual juga tidak tanggung jawab gada respon sama sekali dr toko nyesel banget
3710,Pesanan saya Rusak/ Tidak bisa dipergunakan,1,pesan saya rusak tidak bisa guna
3733,"Respon dan pengiriman cepat. Tp barang diterima cacat. Tdk dipacking dgn aman pakai kayu, cuma kotak tv biasa, sampai ke alamat saya layar tv pecah. Saat ini saya sedang melakukan retur, saya kirim ulang via tiki. Tolong segera ditindaklanjuti, dikirim ulang dgn aman.",1,respon dan kirim cepat tp barang terima cacat tdk dipacking dgn aman pakai kayu cuma kotak tv biasa sampai ke alamat saya layar tv pecah saat ini saya sedang laku retur saya kirim ulang via tik tolong segera ditindaklanjuti kirim ulang dgn aman
3738,kecewa . barang saya terima dalam kondisi pecah layarnya.,1,kecewa barang saya terima dalam kondisi pecah layar
3741,Sama speaker skali kan? garansi berapa tahun ya?,1,sama speaker skali kan garansi berapa tahun ya
3776,yang datang warna biru.. gak sesuai gambar.. karet dalem nya beda sama gambarnya.. kegedean lagi .. hadeh ...,1,yang datang warna biru gak sesuai gambar karet dalem nya beda sama gambar gede lagi hadeh
3778,"Kondisi Barang Vs  Seharusnya Warna Merah seharusnya Hitam Ukuran 3.5"" seharusnya 2.5"" Model Tidak Sama dengan Gambar.",1,kondisi barang vs harus warna merah harus hitam ukur harus model tidak sama dengan gambar
3779,"Kecewa sekali....pesan saat harbolnas (12-14 Des 2016) pas harga nya murah (sekitar 29k)...eh udah pesan ternyata di akhir bulan pesanan ditolak.... Kapok deh belanja di seller ini, gak tau barangnya gak ada atau takut rugi ngejualnya...",1,kecewa sekalipesan saat harbolnas des pas harga nya murah sekitar keh udah pesan nyata di akhir bulan pesan tolak kapok deh belanja di seller ini gak tau barang gak ada atau takut rugi ngejualnya
3781,"Ukuran yg di gambar td sesuai dgn gambar terlalu besar untuk hdd 2.5"". Warna yg datang merah sedangkan di gambar warna hitam.",1,ukur yg di gambar td sesuai dgn gambar terlalu besar untuk hdd warna yg datang merah sedang di gambar warna hitam
3784,"Barang sudah sampai dengan selamat, dan pengiriman terhitung cepat. Cuma cukup kecewa karna ini Hard case untuk HDD 3.5 inch, bukan 2.5.inch",2,barang sudah sampai dengan selamat dan kirim hitung cepat cuma cukup kecewa karna ini hard case untuk hdd inch bukan inch
3798,Saya pesan warna hitam yang datang warna biru,2,saya pesan warna hitam yang datang warna biru
3802,Barang ga sesuai gambar. Kegedean,1,barang ga sesuai gambar gede
3828,"Pesannya yg warna hitam, tapi dateng nya malah warna biru.",2,pesan yg warna hitam tapi dateng nya malah warna biru
3834,"barang terlalu besar untuk ukuran ext hd 2,5"", ni barang ukuran aslinya sekitar 6""... seharusnya judul disesuaikan jd tidak membuat pembeli kecewa.",1,barang terlalu besar untuk ukur ext hd ni barang ukur asli sekitar harus judul sesuai jd tidak buat beli kecewa
3879,Jangan sampai beli seller penipu lagi kurang stabil otaknya sudah banyak jadi korban ditolak alasan stock habis,1,jangan sampai beli seller tipu lagi kurang stabil otak sudah banyak jadi korban tolak alas stock habis
3880,"Penipuan nih, nanti barang nya digagalkan dengan alasan stok barang habis. Akhirnya uang konsumen tertahan selama 7 hari lebih.",1,tipu nih nanti barang nya gagal dengan alas stok barang habis akhir uang konsumen tahan lama hari lebih
3881,Leptop mati apa hidup ini,1,leptop mati apa hidup ini
3882,Mohon tulis harga dengan benar,1,mohon tulis harga dengan benar
3885,Ini beneran laptop apa bukan gan? Bisa di gunakan apa nggk??,1,ini beneran laptop apa bukan gan bisa di guna apa nggk
3886,Ni leptop kondisinya gimana,1,ni leptop kondisi gimana
3887,Ni laptop speck nya apa.  Barang hidup atau tidak,1,ni laptop speck nya apa barang hidup atau tidak
3888,"Ini kondisi laptop gmn ? Mohon dijelaskan detail, thx",1,ini kondisi laptop gmn mohon jelas detail thx
3889,"kenapa seller abal2 bisa di lazada, mengurangi kepercayaan pada lazada..",1,kenapa seller abal bisa di lazada kurang percaya pada lazada
3897,Baru dipakai langsung beberapa menit saja data ga bsa dibaca,1,baru pakai langsung beberapa menit saja data ga bsa baca
3946,pesan warna gold dikirim silver,1,pesan warna gold kirim silver
3952,lebih baik cari yg lain,1,lebih baik cari yg lain
3983,"Barang yg dipesan tidak sesuai, Yang dipesan itu flash disk tapi yang dateng micro SD. Hadeh.. mohon lebih teliti lagi. Barang sudah saya kembalikan, mohon segera diproses.",1,barang yg pes tidak sesuai yang pes itu flash disk tapi yang dateng micro sd hadeh mohon lebih teliti lagi barang sudah saya kembali mohon segera proses
4003,"barang yg datang tidak sesuai gambar/pesanan, saya malah di kasih fd model lama, model yg tidak mau saya beli, kecewa saya sama lazada, saya minta pengembalian barang",1,barang yg datang tidak sesuai gambarpesanan saya malah di kasih fd model lama model yg tidak mau saya beli kecewa saya sama lazada saya minta kembali barang
4014,"pesanan 32GB yang dikirim 16GB, slow respon, ga recomend",1,pesan gb yang kirim gb slow respon ga recomend
4019,"Kapasitas tidak full 32GB, terbaca hanya 28.6GB",2,kapasitas tidak full gb baca hanya gb
4092,Ori ngga ka?,2,ori ngga ka
4107,"Tolong dong, judul & deskripsinya yang jelas. Katanya eksternal 3 TB eh yg Dateng cma casingnya doang mna pesen 3 lagi",1,tolong dong judul deskripsi yang jelas kata eksternal tb eh yg dateng cma casingnya doang mna sen lagi
4110,pesanan yg saya terima hanya case hardisk usb obeng dan sekrup saja .. tidak sesuai dengan judul iklannya.. dan saya sudah mengajukan pengembalian dana sesuai respon pelapak trimakasih,2,pesan yg saya terima hanya case hardisk usb obeng dan sekrup saja tidak sesuai dengan judul iklan dan saya sudah aju kembali dana sesuai respon lapak trimakasih
4111,hahaha sampah!!!!,1,hahaha sampah
4155,2GB / 16GB,2,gb gb
4166,Katanya barang ready..! Setelah nunggu 2 hari tiba2 pesanan saya dibatalkan no pesanan 3269773746..untung aja belum keluar duit..,1,kata barang ready telah nunggu hari tiba pesan saya batal no pesan untung aja belum keluar duit
4181,"kualitas sangat mengecewakan,  susah conect.  harus berkali2 di colok baru conect",1,kualitas sangat kecewa susah conect harus kali di colok baru conect
4198,Ok banget,1,ok banget
4239,baru juga 5 bulan udah rusak gak bisa ngbaca hddnya :(,1,baru juga bulan udah rusak gak bisa ngbaca hddnya
4242,"tidak berguna, kabel usb tidak berfungsi..",1,tidak guna kabel usb tidak fungsi
4262,Berapa gb,1,berapa gb
4269,"flashdisknya ga bisa digunakan. setiap copy data, dan pas dibuka lagi. datanya langsung hilang. Itu kenapa ya??",1,flashdisknya ga bisa guna tiap copy data dan pas buka lagi data langsung hilang itu kenapa ya
4270,"Barang nya emang cepet dikirim (nilai + buat lazadanjuga buat penjualnya), sesuai judul harga minim kualitas minim, saran aja nih ya mending beli ORI dari pada OEM, knp ?soalnya copy filenya lama susah kebaca *mesti di format lagi. yaaa ujung2nya nganggur gak kepake, tapi kalo lu mau coba2 beli, test aja siapa tau dapet kualitas bagus",2,barang nya emang cepet kirim nilai buat lazadanjuga buat jual sesuai judul harga minim kualitas minim saran aja nih ya mending beli ori dari pada oem knp soal copy filenya lama susah baca mesti di format lagi yaaa ujung nganggur gak kepake tapi kalo lu mau coba beli test aja siapa tau dapet kualitas bagus
4271,"Sy beli disini bbrp minggu yg lalu, baru dipake bbrp hari sdh error, tdk bisa simpan dan baca. Mengecewakan!",1,sy beli sini bbrp minggu yg lalu baru dipake bbrp hari sdh error tdk bisa simpan dan baca kecewa
4294,"Baru dicolokin udah rusak, bunyi ""beep"" berulang ulang.  Untung bisa diretur. Sepertinya dari ekspedisinya.",1,baru dicolokin udah rusak bunyi beep ulang ulang untung bisa retur seperti dari ekspedisi
4297,baru di pake 2 minggu sudah hang...,1,baru di pake minggu sudah hang
4306,Jangan tipu pembeli Saya beli CANVIO READY Dikirimkan CANVIO BASICS Penjual pasti tahu bedanya Sungguh kecewa,1,jangan tipu beli saya beli canvio ready kirim canvio basics jual pasti tahu beda sungguh kecewa
4307,"MENGECEWAKAN Saya beli CANVIO READY Dikirimkan CANVIO BASICS Penjual pasti tahu bedanya, beda harga beda fitur Sungguh kecewa",1,kecewa saya beli canvio ready kirim canvio basics jual pasti tahu beda beda harga beda fitur sungguh kecewa
4337,Apakah ada garansi nasional dr Lenovo? Dan kalau saya beli apakah ada nota pembelian untuk klaim garansi? Thx u,1,apakah ada garansi nasional dr lenovo dan kalau saya beli apakah ada nota beli untuk klaim garansi thx u
4339,Hanha nanya kalau yakin beli kayaknya ane gan,1,hanha nanya kalau yakin beli kayak ane gan
4340,Pengiriman sangat lama !!! Tolong klo bisa informasiin ke pembeli ...,1,kirim sangat lama tolong klo bisa informasiin ke beli
4341,ini benar ram nya 8gb gak 4gb,1,ini benar ram nya gb gak gb
4342,Wah ga sesuai spek ya,1,wah ga sesuai spek ya
4349,"Saya bayar lebih untuk pengiriman same day service ( gojek ) malah dikirim 2 hari setelahnya. Pembelian dan pembayaran tgl 19 Juni sebelum makan siang. sengaja bayar lebih karena butuh cepat, dan sudah dikejar libur lebaran.  Barang malah dikirim tgl 21 Juni ( lebih dari 24jam ), dimana kantor saya sudah libur lebaran. Pengiriman ternyata pakai ninja express, entah reguler atau gmn, padahal sudah bayar 10rb untuk ongkos kirim same day service. Ketika ditelp ninja express ( tgl 21 juni jam 17.30 an ) , akhirnya saya terpaksa minta titip ke orang lain di daerah sekitar kantor saja, karena sudah tutup kantor . Tumben Kenkez mengecewakan.",1,saya bayar lebih untuk kirim same day service gojek malah kirim hari telah beli dan bayar tgl juni belum makan siang sengaja bayar lebih karena butuh cepat dan sudah kejar libur lebaran barang malah kirim tgl juni lebih dari jam mana kantor saya sudah libur lebaran kirim nyata pakai ninja express entah reguler atau gmn padahal sudah bayar rb untuk ongkos kirim same day service ketika ditelp ninja express tgl juni jam an akhir saya paksa minta titip ke orang lain di daerah sekitar kantor saja karena sudah tutup kantor tumben kenkez kecewa
4352,"garansi 1 tahun, kartu garansinya mana kok ga da... gmna claim garansinya",1,garansi tahun kartu garansi mana kok ga da gmna claim garansi
4355,ga bisa conect ke laptop saya. kecewa,1,ga bisa conect ke laptop saya kecewa
4378,barang yang dikirim ga sesuai pesanan orico 6228us3 yang dikirm 619us3 benar benar merepotkan saya kembalikan aja dananya kalo ga bs kirim brg yg benar!!!!!!!,1,barang yang kirim ga sesuai pesan orico us yang dikirm us benar benar repot saya kembali aja dana kalo ga bs kirim brg yg benar
4417,"Barang ini jgn di beli, nyesal ntar. barang gk bisa kepakai.",1,barang ini jgn di beli nyesal ntar barang gk bisa pakai
4439,Brang yg sya pesen tidak lengkap/ kurang 1,2,brang yg sya sen tidak lengkap kurang
4443,Saya menerima pouch ukuran 3.5 bukan 2.5. Kecewa...,1,saya terima pouch ukur bukan kecewa
4447,"Bagus tapi barang gak sesuai gambar.bentuk nya beda, Terlalu besar.bonus nya bagus bagus.",2,bagus tapi barang gak sesuai gambarbentuk nya beda terlalu besarbonus nya bagus bagus
4544,Barang yg dikirim ternyata KW.... kecewa,1,barang yg kirim nyata kw kecewa
4545,"Kecewa bgt,brg palsu.perlu di tindak lanjuti penipuan!!!",1,kecewa bgtbrg palsuperlu di tindak lanjut tipu
4822,Kok gabisa dicolokin ke hp??  gamasuk.  kecewa ah tampilan doang bagus,1,kok gabisa dicolokin ke hp gamasuk kecewa ah tampil doang bagus
4867,Bekas ya?,1,bekas ya
4873,barang yg dikrim lain.,1,barang yg krim lain
4978,barang sdh datang tp ga bs dipake. kecewa.,1,barang sdh datang tp ga bs dipake kecewa
5210,"halo,,,,, Mengapa tertera bahwa barang sudah diterima? Sedangkan kenyataannya barang belum ada saya terima. Mohon perhatiannya..... Atas nama pembeli Maria Sianturi",1,halo mengapa tera bahwa barang sudah terima sedang nyata barang belum ada saya terima mohon perhati atas nama beli maria sianturi
5261,setelah saya cek nomor resi saya dinyatakan bahwa pengiriman saya gagal dan barang Dalam perjalanan kembali ke pengirim.Dengan ini saya batalkan pesanan saya. thanks,2,telah saya cek nomor resi saya nyata bahwa kirim saya gagal dan barang dalam jalan kembali ke pengirimdengan ini saya batal pesan saya thanks
5294,barang belum datang,1,barang belum datang
5301,Kadang tiba-tiba unplug sendiri.,2,kadang tibatiba unplug sendiri
5330,"kecewa dengan pelayanannya, pesanan sameday tapi ngak diantar, dan gk ada kontak kurir dan toko",1,kecewa dengan layan pesan sameday tapi ngak antar dan gk ada kontak kurir dan toko
5351,Kecepatannya masih tidak stabil. Kadang hanya 5mbps,2,cepat masih tidak stabil kadang hanya mbps
5439,kejebak,1,jebak
5482,kecewA,1,kecewa
5556,credit,2,credit
5569,"hanya bertahan 3 bulan.., setelah itu rusak.,",1,hanya tahan bulan telah itu rusak
5579,File saya corrupt semua kecepatan speed hanya 4mbps flashdisk ini palsu,1,file saya corrupt semua cepat speed hanya mbps flashdisk ini palsu
5581,Barang nya palsu. Otg nya gak d pake. Jelek,1,barang nya palsu otg nya gak d pake jelek
5586,flashdisk tidak bisa digunakan,1,flashdisk tidak bisa guna
5592,"usb ga conect otg nya kaya yg bekas itu mah ,mengecewakan pkoknya",1,usb ga conect otg nya kaya yg bekas itu mah kecewa pkoknya
5630,"Akhirnya bisa juga juga lihat ulasan nih laptop,,,makasih ya...hik hik hik",2,akhir bisa juga juga lihat ulas nih laptopmakasih yahik hik hik
5639,OTG nya gs bisa dgunain di hp,2,otg nya gs bisa dgunain di hp
5679,Saya sudah memesan dan menunggu sebulan untuk produk ini namun saat seseharusn sampai tiba tiba dibatalkan dan tertera alamat tidak ditemukan padahal di google map pun alamat ini muncul.,1,saya sudah mes dan tunggu bulan untuk produk ini namun saat seseharusn sampai tiba tiba batal dan tera alamat tidak temu padahal di google map pun alamat ini muncul
5683,Yg bener ini sony atau panasonic? Judul sony 48 inch.  Tp gambar panasonic. Descripsinya 24 inch... Ngacooo bener,1,yg bener ini sony atau panasonic judul sony inch tp gambar panasonic descripsinya inch ngacooo bener
5684,"Menurut sya apakah mungkin buy1 get 1 free, karena yg satu Sony 48"" & yg satu nya lg Panasonic 24"", klo bnr begitu sya mau beli deh",1,turut sya apakah mungkin buy get free karena yg satu sony yg satu nya lg panasonic klo bnr begitu sya mau beli deh
5685,"Di judul 48"" di deskripsi 24"" mana yang bener?? Di judul juga di tulis 'smart tv' tapi di deskripsi ga dijelasin?? kebanyakan gadoin micin nih seller..",2,di judul di deskripsi mana yang bener di judul juga di tulis smart tv tapi di deskripsi ga dijelasin banyak gadoin micin nih seller
5686,"jgn berjualan klo tidak detail tentang barangnya yang ada lazada membuat costemer kecewa, klo tidak jelas apa yg dijual dilazada",1,jgn jual klo tidak detail tentang barang yang ada lazada buat costemer kecewa klo tidak jelas apa yg jual dilazada
5688,Judul sama deskripsi produk kok beda. Lazada harusnya sortir seller yg ky gni nih. Termasuk penipuan hlo.,1,judul sama deskripsi produk kok beda lazada harus sortir seller yg ky gni nih masuk tipu hlo
5689,"Ini merk sebenarnya sony atau panasonic dan incinya 24 atau 48, karena didiscreption tidak sesuai dg barang yg ditawarkan,  mohon penjelasannya",1,ini merk benar sony atau panasonic dan inci atau karena didiscreption tidak sesuai dg barang yg tawar mohon jelas
5690,Yg bener ini TV Sony 48 inch atau Panasonic 24 inch???? Judul Dan deskripsi gak akur,1,yg bener ini tv sony inch atau panasonic inch judul dan deskripsi gak akur
5691,Yg bener dunk klu ngasih judul product biar ga byk berita miring tentang lazad!!!,1,yg bener dunk klu ngasih judul product biar ga byk berita miring tentang lazad
5693,"Judulnya sony smart 32, gambarnya Panasonic, deskripsinya 24"". Maunya tuh apa??",1,judul sony smart gambar panasonic deskripsi mau tuh apa
5694,Di depaan discription nya 48 inch tapi krterangan kok 24 inch mna nih yg bener,1,di depa discription nya inch tapi krterangan kok inch mna nih yg bener
5695,Mana yg benar ya... 24 inch atau 48 inch...???,2,mana yg benar ya inch atau inch
5696,Ini tv berapa inch sebenarnya..48 inch / 24 inch..terima kasih,1,ini tv berapa inch benar inch inchterima kasih
5697,Itu tv 24/48 inch?,1,itu tv inch
5698,"Iya gajelas nie tv 24 "" atau 48""",1,iya gajelas nie tv atau
5703,Judul sama deskripsi kok beda.,1,judul sama deskripsi kok beda
5709,Jgn nipu dong...,1,jgn nipu dong
5710,Ini panasonic apa sony.?,1,ini panasonic apa sony
5711,Ini sony 48 inci apa 24 inci yg benar?,1,ini sony inci apa inci yg benar
5713,"Ini judul nya 48"" tapi baca spesipikasi utama led 24 yg bener yang mana?",1,ini judul nya tapi baca spesipikasi utama led yg bener yang mana
5714,48 inchi atau 24 ini !!!,1,inchi atau ini
5716,Gan ini yg bener 48 inch atau 24 inch,2,gan ini yg bener inch atau inch
5717,Yg bawah 24 inci hhahha.... kaga bener lo,1,yg bawah inci hhahha kaga bener lo
5719,Raedy kh barang nya gan,1,raedy kh barang nya gan
5720,Ini 24 inch apa 48 inch yg bner yg mna,1,ini inch apa inch yg bner yg mna
5721,Ini Harga beneran?? Dengan ukuran 48 inch??,1,ini harga beneran dengan ukur inch
5724,Tv sony,1,tv sony
5775,"Baru kali ini kecewa dg lazada.  Pertama saya pesan antar pakai gojek dan ternyata barang 3 hri baru sampai. Kedua saya pesan yg model atm mandiri tp yg datang BCA,  ketiga setelah saya gunakan ternyata flasdisk tidak bisa digunakan.. Sangat sangat kecewa..",1,baru kali ini kecewa dg lazada pertama saya pesan antar pakai gojek dan nyata barang hri baru sampai dua saya pesan yg model atm mandiri tp yg datang bca tiga telah saya guna nyata flasdisk tidak bisa guna sangat sangat kecewa
5776,"Kecewa banget, Flashdisk emang bener kapasitas 8gb tapi Flashdisk nya itu yang rusak bukan Flashdisk baru & udah kena Virus jadi setiap data yang masuk ke Flashdisk jadi Virus Sortcut. Jadi Flashdisk tidak bisa di gunakan. Kalau jualan yang bener jangan jual barang rusak.",1,kecewa banget flashdisk emang bener kapasitas gb tapi flashdisk nya itu yang rusak bukan flashdisk baru udah kena virus jadi tiap data yang masuk ke flashdisk jadi virus sortcut jadi flashdisk tidak bisa di guna kalau jual yang bener jangan jual barang rusak
5787,Pengiriman dari surabaya? ??? Ternyata jack nya ygcabang 3.harus beli lagi. Program ws nya harus di scan lagi. Repot sih. .thanks ya lazada,2,kirim dari surabaya nyata jack nya ygcabang harus beli lagi program ws nya harus di scan lagi repot sih thanks ya lazada
5792,Ini layar bisa di sentuh ga ya?,2,ini layar bisa di sentuh ga ya
5793,Lokasi toko dimana ya?,1,lokasi toko mana ya
5847,Barang pesanan blm smp k saya...SMP SEKARANG...dan sdh ada email masuk barang sdh d terima....SIAPA YANG TERIMA...LAZADA BAGAIMANA TANGGUNG JAWABNYA..!!!!!!,1,barang pesan blm smp k sayasmp sekarangdan sdh ada email masuk barang sdh d terimasiapa yang terimalazada bagaimana tanggung jawab
5907,ini digital tidak??,2,ini digital tidak
5916,"Barang yag diterima sesuai gambar, saat dicek kapasitas juga 32 GB. saat transfer file ke flasdisk, file tidak bisa dibuka. harus diformat ulang, setelah diformat file kadang2 bisa dibuka kadang2 tidak. saya curiga kapasitas fdisk saat kecil bukan 32 GB.",1,barang yag terima sesuai gambar saat cek kapasitas juga gb saat transfer file ke flasdisk file tidak bisa buka harus format ulang telah format file kadang bisa buka kadang tidak saya curiga kapasitas fdisk saat kecil bukan gb
5919,"Kecewa, flashdiskny ga bisa diformat ke NTFS + copy file gede corrupt, mw jdiin bootable windows eh detect ny bkn 32gb malah jadi 33gb -_- abal nih fd kekny...",2,kecewa flashdiskny ga bisa format ke ntfs copy file gede corrupt mw jdiin bootable windows eh detect ny bkn gb malah jadi gb abal nih fd kekny
5920,waktu ditancapkan hp tidak konek dan tidak bisa dirubah menjadi NTSF jdi tidak bisa mengambil data lebih dri 4gb ke atas,1,waktu tancap hp tidak konek dan tidak bisa rubah jadi ntsf jdi tidak bisa ambil data lebih dri gb ke atas
5921,flashdisknya gabisa dipake.. uang saya bisa balik lagi ga ya? saya merasa dirugikan.. boleh minta nomor hp yg jualnya ga?,1,flashdisknya gabisa dipake uang saya bisa balik lagi ga ya saya rasa rugi boleh minta nomor hp yg jual ga
5922,flash ga bisa nyimpan,1,flash ga bisa nyimpan
5928,Flashdisk rusak yang saya terima. Sangat mengecewakan.,1,flashdisk rusak yang saya terima sangat kecewa
5929,Kurirnya kurang profesional dan kurang tepat waktu.,2,kurir kurang profesional dan kurang tepat waktu
5930,flash nya ngak bisa nyimpan,1,flash nya ngak bisa nyimpan
5931,"gilee. barang uda sampe rumah (90k), eh harganya uda turun lagi jadi 55k :(",2,gilee barang uda sampe rumah k eh harga uda turun lagi jadi k
5938,Kecewa..flasdisk gak bisa dipakai,1,kecewaflasdisk gak bisa pakai
5940,"Lama kali smpe brng ny,  bts wktu pngrmn sudh lwt",1,lama kali smpe brng ny bts wktu pngrmn sudh lwt
5945,Tidak berfungsi 😥,2,tidak fungsi
5948,Ga bisa dipakai,1,ga bisa pakai
5949,Ga ke baca di laptop/tv,1,ga ke baca di laptoptv
5950,Ngga bisa buat nyimpen video,1,ngga bisa buat nyimpen video
6010,beli 2 fd yang work cuman 1 .ralat setelah di coba ke dua kali semua corrupt,1,beli fd yang work cuman ralat telah di coba ke dua kali semua corrupt
6021,Barang masih ada?,1,barang masih ada
6022,Sdh 2 minggu barang blom di kirim juga..bagaimana ini gan .ada barang ngak sih?,1,sdh minggu barang blom di kirim jugabagaimana ini gan ada barang ngak sih
6031,"Kiriman tepat waktu, Barang oke berfungsi semua, tapi gak ada kaki nya, gimana berdiri in nya nih gan? Mohon segera dikirimkan ya, harus nya sebelom dikirim cek kelengkapan nya jangan sampe ketinggalan",2,kirim tepat waktu barang oke fungsi semua tapi gak ada kaki nya gimana diri in nya nih gan mohon segera kirim ya harus nya bom kirim cek lengkap nya jangan sampe tinggal
6072,Di tulis di gambar nya bayar di tempat. Tapi kok nyata nya ketika mau masuk ke menu pembayaran malah transfer yah? Saya ingin mencari barang yg cod. Bukan yg transfer,1,di tulis di gambar nya bayar di tempat tapi kok nyata nya ketika mau masuk ke menu bayar malah transfer yah saya ingin cari barang yg cod bukan yg transfer
6087,"Nyalin file nya gak bisa , kebanyakan gak bisa dilihat/didengar 97% , gak bagusss , nyesell , padahal baru pakai .",1,nyalin file nya gak bisa banyak gak bisa dilihatdidengar gak bagusss nyesell padahal baru pakai
6088,"barang jelek kok masih dijual,,flashdisk baru 64gb masa ngopi file gak ada yang kebaca korup,,nyesel banget andai bisa dipulangin ini fd! tolong lazada difilter barang2 yg kw alias kwalitas gak sesuai gak dpt izin jual.",1,barang jelek kok masih dijualflashdisk baru gb masa ngopi file gak ada yang baca korupnyesel banget andai bisa dipulangin ini fd tolong lazada filter barang yg kw alias kwalitas gak sesuai gak dpt izin jual
6089,File gak bisa kebaca . saya kembalikan flasdisnyaaaaaa,1,file gak bisa baca saya kembali flasdisnyaaaaaa
6090,"Flashdisk nya tidak dapat berfungsi, pada saat copy data tidak bisa terbaca.",1,flashdisk nya tidak dapat fungsi pada saat copy data tidak bisa baca
6091,jelek banget fd nya gak bisa dipake,1,jelek banget fd nya gak bisa dipake
6093,TIDAK BISA COPY DATA,1,tidak bisa copy data
6094,"Coba komentar dari pihak lazada , apakah ini bener 100% asli 64gb atau tidak. Tolong di jawab agar pelayanan baik",1,coba komentar dari pihak lazada apakah ini bener asli gb atau tidak tolong di jawab agar layan baik
6096,Langsung corruption gamenya,1,langsung corruption gamenya
6103,"Fd gagal menyalin ke laptop, file malah jadi rusak dan corrupt Sangat tidak direkomendasikan",1,fd gagal salin ke laptop file malah jadi rusak dan corrupt sangat tidak rekomendasi
6106,gmn yg udh make full ngk 64gb...kok gue jdi ragu mau order.,1,gmn yg udh make full ngk gbkok gue jdi ragu mau order
6108,Klw buat isi game ps bisa ga ya,1,klw buat isi game ps bisa ga ya
6140,Saya pesan pakek jasa gojek seharusnya sampai tgl 30 nov tapi sampai saat ini barang saya belum sampai juga.. tolong jangan buat orang kpok beli dilazada.!!!!! Pelayanan tidak recomended,1,saya pesan pakek jasa gojek harus sampai tgl nov tapi sampai saat ini barang saya belum sampai juga tolong jangan buat orang kpok beli dilazada layan tidak recomended
6152,barang ngga bisa digunakan,1,barang ngga bisa guna
6271,terlalu murah harganya turunin jadi 100k,1,terlalu murah harga turunin jadi k
